docid,class,year,peopl,on,game,time,first,govern,go,world,get,plai,two,film,compani,work,uk,show,sai,firm,against,want,just,music,back,best,told,win,market,number,plan,take,servic,includ,ad,report,wai,month,countri,set,player,befor,labour,000,need,week,parti,look,bbc,expect,three
business.015,business,1,1,1,0,0,0,0,1,0,0,0,2,0,0,0,0,0,1,0,1,0,0,0,0,0,1,1,0,0,0,2,0,2,2,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
business.016,business,5,0,1,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
business.017,business,1,0,1,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,2,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
business.018,business,0,1,3,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,2
business.019,business,1,0,0,0,0,0,3,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,1,0,0,2,0,0,0,0,0,0,1,0,0,3,0,1,1,0,0,0
business.020,business,4,0,1,0,2,0,0,2,1,4,0,0,0,2,1,0,0,6,2,0,1,5,1,0,0,0,0,0,3,1,0,0,0,0,0,1,0,4,0,0,0,0,0,0,0,0,1,0,0,1
business.021,business,3,0,0,2,0,0,0,0,0,0,0,0,5,0,0,2,0,0,3,0,0,0,0,0,0,0,0,0,1,1,0,3,3,1,5,0,0,1,2,0,0,0,0,0,0,0,0,0,0,1
business.022,business,1,2,0,0,0,0,2,0,0,1,0,0,0,0,2,0,1,0,0,0,0,0,0,1,0,0,0,3,3,0,2,0,0,0,0,0,1,1,0,0,0,3,1,0,0,0,0,0,1,0
business.023,business,2,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,1,1,0,1,0,0,0,0,0,0,0,1,0,0,1
business.024,business,3,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
business.025,business,2,0,0,0,0,0,2,0,0,1,0,0,0,2,0,0,0,0,0,1,1,0,0,2,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
business.026,business,4,1,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0
business.027,business,2,0,2,0,0,0,0,1,1,0,0,0,0,3,0,0,0,0,4,0,1,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,7,0,0,0,0,0,0,0
business.028,business,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,1,1,0,0,0,1,0,0,0,1,0,0,0
business.029,business,0,0,0,0,0,0,5,0,0,0,0,0,0,2,0,1,0,1,3,0,0,0,0,1,0,1,0,1,0,2,1,0,0,1,0,0,1,3,0,0,0,0,3,1,0,0,0,0,0,0
business.030,business,5,0,1,0,0,0,0,0,6,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,4,0,1,1,1,0,1,0,0,0,0,0,0,1,0,0
business.031,business,2,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,1,0,1,0,2,0,5,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,1,0,1,0
business.032,business,1,0,0,0,0,0,0,0,1,0,0,2,0,1,0,0,0,0,2,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0
business.033,business,0,1,0,0,0,0,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,1,0,1,1,0,0,1,0,0,0,0,0,3,0,0,0,0,0,0
business.034,business,0,1,0,0,3,0,0,0,0,0,0,0,0,1,0,2,0,1,2,0,0,0,0,0,0,1,0,0,0,1,2,0,0,0,4,0,0,0,0,0,0,0,2,1,0,0,0,2,0,0
business.035,business,3,0,0,0,0,0,0,0,2,0,0,0,0,1,0,1,0,0,4,0,0,0,0,0,0,1,0,2,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
business.036,business,2,0,1,0,2,0,1,0,0,2,0,0,0,3,1,1,0,0,6,0,0,1,0,0,0,1,0,2,0,0,1,0,0,0,3,0,1,1,0,0,1,0,0,0,0,0,1,1,0,0
business.037,business,2,0,4,1,1,0,1,0,2,0,0,0,0,4,0,0,0,1,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1
business.038,business,2,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
business.039,business,1,0,0,0,0,0,3,0,0,0,0,1,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
business.040,business,2,0,0,0,0,1,0,0,2,0,0,0,0,0,0,3,0,0,4,0,0,0,0,0,0,0,0,1,1,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
business.041,business,2,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0
business.042,business,1,0,0,0,0,0,0,0,0,0,0,0,0,3,0,6,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
business.043,business,3,0,0,0,2,2,1,0,0,0,0,0,0,0,2,0,0,2,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,2,0,0,2,0,0,0,1,0,0,1,0,0,0,0,0
business.044,business,3,0,0,0,1,1,3,0,0,0,0,2,0,1,0,0,1,0,0,0,0,0,0,2,0,0,0,1,0,0,1,1,0,0,0,0,3,1,0,0,0,0,0,0,0,0,2,0,1,2
business.045,business,1,0,0,0,1,0,1,1,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,1,0,1,0,4,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0
business.046,business,3,0,1,0,1,2,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,5,1,0,0,0,0,0,0,0,0,0,0,1,0
business.047,business,9,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
business.048,business,1,0,0,0,1,0,1,0,0,0,0,1,0,4,0,0,0,1,1,0,0,0,0,1,0,0,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
business.049,business,8,2,4,0,3,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,4,0,0,0,0,0,0,2,2,0,0,2,0,0,0,0,0,0,0,1,0,10,0,0,0,0,0,0,0
business.050,business,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,1,0,2,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
business.051,business,0,0,1,0,2,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,4,0,0,0,0,1,0,3,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0
business.052,business,2,1,1,0,2,0,4,2,0,3,0,0,0,3,0,0,0,1,2,0,0,1,0,0,0,0,0,1,0,4,0,0,1,1,0,1,0,3,2,0,0,0,0,0,0,0,0,0,1,0
business.053,business,6,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,3,0,0,1,0,0,0,0,0,0,0,0,0,1,0,2,0
business.054,business,3,1,1,0,0,0,0,0,0,0,0,0,0,4,0,0,1,0,0,0,0,0,0,0,0,0,0,3,0,2,0,0,0,0,0,0,0,1,0,0,0,0,5,1,0,0,0,0,2,0
business.055,business,5,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,2,1,0,0,1,0,1,1
business.056,business,7,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,2
business.057,business,4,0,5,0,1,0,0,0,0,0,0,0,0,0,2,2,1,0,0,0,0,0,0,0,1,0,0,2,1,0,1,0,0,0,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0
business.058,business,0,0,0,0,0,0,0,1,1,0,0,1,0,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0
business.059,business,1,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,2,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
business.060,business,1,0,2,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1
business.061,business,3,4,2,0,0,0,0,0,1,0,0,0,0,0,5,3,1,0,0,0,0,0,0,0,0,1,0,1,3,0,0,0,0,1,0,0,3,0,0,0,0,0,5,0,0,0,0,0,1,1
business.062,business,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,2,0,0,5,1,0,0,0,1,0,1,1,0,0,0,1,0,1,1,2,0,1,0,0,0,1,0,0,1,0,0,0,0,2,0
business.063,business,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0
business.064,business,0,0,1,0,3,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,1,0
business.065,business,0,0,0,0,0,1,0,0,3,0,0,0,0,1,0,0,0,0,1,1,1,0,0,1,0,0,0,0,0,3,0,0,1,1,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
business.066,business,1,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,1,2
business.067,business,0,1,1,0,1,1,0,0,3,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,5,0,0,1,0,0,0,2,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0
business.068,business,0,0,1,0,0,0,3,0,1,1,0,0,0,3,0,0,0,0,2,0,0,1,0,0,0,2,0,1,0,1,0,0,1,0,0,1,0,3,1,0,0,0,2,2,0,0,0,2,0,0
business.069,business,4,1,2,0,0,0,0,0,1,1,0,1,0,2,0,0,0,0,1,0,1,0,0,0,1,0,0,1,1,2,1,0,0,1,0,0,1,0,1,1,0,0,1,1,0,0,0,0,1,1
business.070,business,0,0,1,0,0,0,0,1,0,1,0,0,0,2,0,0,0,0,3,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
business.071,business,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
business.072,business,3,0,3,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,2,1,0,0,0,0,0,0,0,1,0,0,0
business.073,business,2,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
business.074,business,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,3,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0
business.075,business,0,0,0,0,1,0,1,0,3,0,0,0,0,1,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0
business.076,business,6,2,0,0,0,1,0,0,2,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,4,0,0,1,0,0,1,0,2,0,1,0,0,0,0,0
business.077,business,2,0,1,0,0,0,2,0,0,1,0,1,0,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
business.078,business,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0
business.079,business,1,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,5,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0
business.080,business,2,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
business.081,business,0,0,1,0,0,1,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0
business.082,business,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0
business.083,business,0,0,0,0,0,1,2,1,0,1,0,1,0,4,0,0,0,0,4,0,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1,0,0,0,0,0
business.084,business,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,2,0,0,0,1,0,0,1,0,0,0,0,0
business.085,business,2,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,3,1,0,0,0,0,0,1,0,1,0,0,0,0,0,2,0,0,0,0,0,1,0
business.086,business,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
business.087,business,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,1,0
business.088,business,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
business.089,business,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,2,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0
business.090,business,0,0,0,0,1,1,3,1,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
business.091,business,0,0,1,0,0,0,4,0,1,2,0,1,0,3,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0
business.092,business,0,0,2,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,5,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
business.093,business,3,0,0,0,0,0,3,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,1,0,0,0,3,1,0,0,0,0,0,0,0,0,0,2,2
business.094,business,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,3,0
business.095,business,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,3,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,1
business.096,business,1,0,0,0,0,0,1,0,0,0,0,2,0,1,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
business.097,business,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,1,0,0,1,0,0,0
business.098,business,1,0,0,0,1,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,4,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0
business.099,business,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,5,0,1,0,1,0,1,0,0,1,0,0,1,0,0,1,0,0,0,1,0,1,0
business.100,business,2,1,1,0,2,0,0,0,0,0,1,0,0,4,1,0,0,1,2,0,0,0,0,0,0,5,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1
business.101,business,4,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,1,0,0,0,3,0,0,0,0,0,0,0,1,1,2,0,0,0,1,0,0,0,1,1,0,1,0
business.102,business,0,0,0,0,1,0,0,0,0,1,0,0,0,5,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
business.103,business,4,0,0,0,0,0,0,2,1,0,0,0,0,3,0,0,0,0,2,1,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,1,1,0,0,0,1,0,1,0,0,0,1,0,2,1
business.104,business,2,0,0,0,0,0,6,0,0,0,0,0,0,5,0,0,0,1,5,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,1,1,0
business.105,business,0,0,0,0,0,1,0,0,0,0,0,0,0,3,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0
business.106,business,0,0,2,0,1,0,0,0,0,0,2,1,0,0,0,0,1,3,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,3,0,0,0,1,0,1,2,0
business.107,business,1,0,0,0,0,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,2,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0
business.108,business,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0
business.109,business,1,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
business.110,business,1,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,1
business.111,business,6,0,1,0,0,0,1,0,0,0,0,1,0,7,0,0,0,1,0,0,0,0,0,1,1,0,0,3,0,4,1,0,2,0,1,0,1,0,0,0,0,0,0,1,0,0,1,0,1,0
business.112,business,2,0,1,0,0,0,0,0,1,1,0,1,0,2,0,0,1,0,2,0,0,0,0,0,0,0,0,1,0,0,0,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
business.113,business,2,1,0,0,3,0,0,1,0,0,0,2,0,4,0,2,0,0,1,1,0,1,0,0,0,0,0,4,0,0,0,0,0,0,0,0,2,0,1,0,1,0,0,1,0,0,0,0,1,1
business.114,business,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,2,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0
business.115,business,4,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
business.116,business,1,0,0,0,0,0,0,0,0,1,0,3,0,4,1,0,0,0,3,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3,0,1,0,1,0,0,0,0,1,2,0,0,0,0,1,0
business.117,business,5,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,1,0,1,0,0,1,0,0,0,1,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,4,0
business.118,business,1,0,0,0,0,1,0,0,2,0,0,0,0,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,2
business.119,business,3,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,0,0,0,0,0,0,0,2,0,0,1,0,0,0,1,0,6,0,0,0,0,1,0,0,1,0,0,0,1,0
business.120,business,4,1,0,0,1,0,4,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,4,0,0,0,0,4,0,0,0,1,0,1,1
business.121,business,1,0,1,0,1,0,0,0,1,0,0,1,0,1,1,1,0,0,1,0,1,0,0,0,0,0,0,2,0,0,1,0,0,1,1,1,4,0,1,0,1,0,1,0,1,0,0,0,2,1
business.122,business,2,0,1,0,3,0,0,0,0,0,0,3,0,0,0,0,0,1,0,3,0,0,0,1,0,1,0,2,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,3
business.123,business,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
business.124,business,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,3,0,0,0,2,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,2,1
business.125,business,3,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,2,3,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0
business.126,business,3,0,0,0,0,1,0,0,2,0,0,0,0,0,0,6,0,0,0,0,0,0,0,2,0,0,0,2,1,0,0,0,0,1,3,0,1,0,0,0,0,0,0,0,0,0,0,1,2,0
business.127,business,2,0,2,0,1,1,5,0,0,0,0,0,0,2,0,0,0,1,3,1,0,0,0,3,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
business.128,business,3,0,1,0,0,2,1,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5,0,0,0,0,0,1,0,0,0,0,0,2,0
business.129,business,1,0,0,0,0,0,0,0,0,0,0,1,0,2,1,0,0,1,2,0,2,0,0,0,0,0,0,0,0,1,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
