docid,class,text
business.015,business,ad ad on benefit higher increas offer offer offer offer custom secur commiss commiss chief execut oper oper unabl need set legal previous level against euro euro euro euro euro thursdai year price move european european european european european european believ big budget face claim claim forc forc sai demand includ includ oblig monei monei case case case director told agenc fight rule rule rule intern take take protect airlin airlin airlin airlin airlin airlin airlin airlin airlin airlin airlin airlin airlin airlin airlin airlin airlin airlin airlin airlin cost cost cost passeng passeng passeng passeng passeng passeng passeng passeng passeng passeng passeng passeng passeng passeng passeng passeng flight flight flight flight flight flight flight flight flight flight flight flight addit extra extra warn lowcost attack attack control exampl bid two two make push mean presid deputi lead lead nation argu chang chang programm inform inform depend cover campaign legisl legisl legisl basic peopl region came go fault decid decid daili union strike consult right right right air air air air air air win eu eu eu eu board board cancel cancel cancel cancel delai delai delai delai greater compens compens compens compens compens compens compens compens compens compens 250 600 length appli schedul schedul charter challeng lowfar associ associ associ transport transport transport packag bad bad bad bad piec piec 150 300 stop deter deliber bump happen hour paid paid due extraordinari extraordinari circumst circumst fear weather weather weather alert event outsid adher regim criticis payout payout worth ticket ryanair michael radio todai consum andi clark clark clark ec ec ec advic mislead liabl spokeswoman conced grei area disput enforc bodi technolog easier land compli pass reckon 15bn £1bn load transfer journei journei disrupt disrupt wednesdai jacqu vice commission necessari boom travel travel accompani proper concret live launch airport
business.016,business,sale media on exchang grew 2005 growth growth growth effort market report dollar level govern curb factor earlier bank year year year year year china china china china china china remain peg peg chines export price price shift februari rate rate keep oil demand intern credit credit credit introduc octob 43 declin continu continu state control invest world world target economi economi econom slow mean mean mean 157 pace low lead hard place pressur cheap far system effect retail fear land boom tight rein overh clamp ward risk rapid rapid expans expans soar stress fragil breakneck breakneck 91 corpor grow 25 kept kept manufactur sector massiv energi skyhigh theori insist shape yuan 828 relentless resist break link least extent industri output 23 inflat
business.017,business,profit profit decemb firm firm on fourth quarter lost compani compani compani compani compani revenu 2003 2003 2003 close perform financi financi earn account deal legal legal europ report against euro euro euro euro euro factor bank year fall bond former former former group expert case manag new rule action debt bankruptci protect pretax continu number posit takeov food brand have fine administr separ five brought turnaround tuesdai sought strongli period corpor parmalat parmalat boast doubl doubl italian centr pain scandal scandal 100m welcom 11m violat ago disclos hole overal 12bn slowli wellknown itali oversea bare broke crucial futur unwind intens complex enrico bondi bondi su su su morgan stanlei banker return 136m relat 49 mass bring 3bn auditor advisor damag crimin proceed
business.018,business,three three on on on buoi gain back increas close expect market market dollar hit hit level level thursdai currenc currenc currenc rate rate rate rate move asset foreign foreign russia monei high high rais januari posit invest start lift two climb first india india india india india india lead countri indian past week put basic poor peopl seen rupe rupe rupe rupe fiveyear fiveyear standard session borrow notch notch gambl cash flow upgrad upgrad excus strategist ub korea thailand revers grade romania egypt el salvador
business.019,business,ad ad investor investor investor user compani compani befor hope increas increas analyst analyst financi chief chief chief execut growth growth part market market market market market need need need stake head govern govern govern minist minist view current bank longerterm year decis decis interest look fund foreign foreign foreign foreign face group group take 40 rais rais carrier forecast number posit posit develop invest invest invest invest invest four alli offic offic kei limit limit india india india indian indian indian indian million million local direct direct give 250 technolog rapid grow link least industri welcom crucial morgan stanlei 49 49 widen access telecom telecom telecom telecom 74 commun commun fastgrow mobil mobil mobil mobil 95 200 2007 2007 20bn consider opposit communist parti support coalit prime singh potenti approv beyond held huge gartner princip relax coupl realli ignit telecommun ernst young mehta domin singapor hong sterl tata
business.020,business,time time three firm firm on higher quarter user busi compani compani increas increas offer custom custom custom custom custom custom custom custom custom try try 2003 result commiss close better saw sharp third perform oper oper oper account part resolv pai deal wai music europ rise save job data data data current taken america year year year year worri call call call call call call call call call call call call call call call call call call call call call call call call call rate rate rate rate rate sixth move move believ look big half forc sai sai sai sai sai sai monei monei manag manag credit main turn high blame drop cost warn averag averag lowcost number number number good good develop develop drive world target suggest suggest twothird brand just just just just just make domest kei record 133 get get get get worker worker worker worker india argu countri countri countri countri south africa place abandon abandon surg 65 85 24 21 past five possibl system want 50 nearli nearli fell poor plan go go 20 come give give decid respons respons respons 36 staff right fear pass risk grow grow industri centr centr centr centr centr centr centr centr centr centr centr centr centr centr centr centr centr centr centr welcom damag mobil consider consider lose patienc patienc patienc quicker hang hang survei survei survei survei survei messag messag messag caller caller second second listen listen can idea avail societi dimens dimens dimens simpli autom phone phone equat pick multipl option wait wait reason reason lack ms ms ms ms fact reflect rang task mortgag agent agent card insur problem occur train train train train alarm induct dai leav equip scari bottom line frustrat throw resolut resolut resolut queri queri mutual satisfact run person specialist 70 outsourc outsourc reloc wrong differ base base north process offshor offshor offshor offshor driven 42 skill everybodi solut poll core function abroad join conduct behalf indepth questionnair contin experi happi immedi work prepar
business.021,business,ad profit profit media media three firm firm firm fridai fridai own own busi busi busi busi busi servic servic servic result result result analyst film film film film film divis chief execut set set report report report report report valu year year year comment major produc move move attract announc announc unit unit unit buyer claim owner group group group expert includ includ includ drop pretax mike annual predict turnov number septemb costcut uk uk specul target suggest refus brand chain chain technic success success success privat fewer lead hard hard hard countri programm distribut possibl possibl activ 1999 provid left plan mainli seri telegraph sundai seen seen area centr advisor rang core rank rank rank rank rank sell sell leisur leisur unveil unveil formerli famou carri expos shakeup shakeup goldman sach understood £300m mount studi studi smith appoint focus embark dispos odeon cinema cinema studio studio game game rock rock rock hollywood aim concentr bar hotel hotel extend casino casino trial dvd dvd video video vh equiti spokesman slight form 1940 diversifi roadsid holidai 34 bingo 100 cafe 38
business.022,business,month benefit benefit quarter rose 000 back stronger increas sign expect third growth growth growth part market market market adjust adjust german german german europ loss hit euro feder head govern govern rise rise job job job job job job job year remain export price competit rate oil demand agenc offici take take prevent high number number number januari show posit posit cut risen top top smaller have economi economi 01 neg economist domest slow unemploy unemploy unemploy unemploy unemploy novemb creation creation creation get worker countri place million million eastern effect effect reviv hold put peopl peopl carmak surpris sluggish strike packag paid fear launch soar industri damag outsourc work work largest tenth straight 108 workforc season season measur measur measur encourag began stagnant stifl clear labour labour labour statement deliv momentum felt germani 188 stuck chancellor gerhard schroeder agenda controversi shake incent cherish spark anger notabl icon demonstr initi socal scheme formal hire affect statist deterior probabl
business.023,business,quarterli quarterli three month decemb decemb fridai mix hope servic 2005 growth growth growth estim set wai hit govern govern govern ahead bank bank improv improv year year remain fallen despit open european look offici high high 2004 annual short short predict full continu continu forecast number januari good good show show show posit posit state target franc french french french french economi economi economi figur figur indic make econom economist appar unemploy activ trend trend confirm best 10 david bodi 25 25 sector industri output output 23 pick leav socal statist signal signal speed inse 06 2002 gdp shortfal flash mark health reiter central nois eurozon releas 07 deutsch send rebound sevenmonth
business.024,business,decemb fourth quarter rose rose back increas 2003 expect 2005 growth growth dollar dollar hit hit level against trade trade trade trade deficit deficit deficit deficit deficit reach reach currenc america year year year china china china export export export price polici polici rate point believ asset gap gap gap foreign foreign foreign trillion trillion claim claim oil oil oil demand demand turn high 40 2004 2004 2004 continu previou latest good show exampl world global wine economi figur figur revis basi upward econom econom economist economist domest depart presid bush bush administr administr record record record record record record given expand get argu countri surg trend hold critic import import import import import car fresh consum clamp grow manufactur yuan 49 widen fact reflect reflect largest spark affect alltim commerc imbal 305 singl monthli narrow appetit thing chees democrat done unfair unfair practic undervalu rapidli advantag competitor faster faster rest spur allow proport choos harm 123 115 163 176 ralli weak downward
business.025,business,sale giant gain fridai busi compani compani befor back back offer analyst divis help help help financi strong chief chief execut account effort pai charg against head trade govern govern rise financ bank bank year year remain major european believ asset yuko yuko yuko yuko yuko yuko yuko yuko yuko yuko unit unit unit claim claim claim russian russian russian russian russian russian russian oil oil former former rosneft rosneft rosneft bought bought yugansk yugansk yugansk yugansk yugansk russia russia 275bn tax tax group case case told agenc rule rule rule rule rule law file bankruptci bankruptci protect protect protect court court court court court court court court attempt attempt sold sold turn mikhail khodorkovski khodorkovski particip continu continu number 11 state four consid consid indic success offic kei issu get argu enterpris separ five requir local activ activ activ brought want deni illeg illeg sought decid boss right challeng paid due clark clark live oversea damag damag crimin lose simpli option occur immedi trial began stifl deutsch battl judg judg judg judg dismiss chapter houston houston unsuccess halt auction auction author blow testimoni fraud evas jail plead guilti involv pride 15 knee £145bn unpaid 94bn statecontrol texa letitia presenc establish jurisdict jurisdict jurisdict vast entitl declar bankrupt bruce misamor forum human unfriendli abid acknowledg appear act manner role gazpromneft ga monopoli gazprom gazprom merg abil freeli ownership unclear light argument merit simpl steven theed seiz
business.026,business,sale profit giant month biggest biggest higher busi 000 lower lower back servic follow expect perform financi 2005 2005 2005 earn regul loss feder america year year year year fall call open european announc product product new 2004 2004 2004 cost addit warn januari van drive world world administr nation pressur requir possibl system system accumul nearli hurt peopl car car car maker motor sport util vehicl vehicl vehicl vehicl suv suv fault carmak 17 recal recal recal recal recal recal recal gener alert stress relat 200 potenti problem north work largest affect allow weak involv safeti safeti safeti gm gm gm gm gm gm gm ground traffic pickup malfunct brake brake brake brake model model model chevrolet chevrolet express sierra crack normal fragment injur hood fluid leak harder steer caus crash crash 19 cadillac coup grand prix sedan acceler properli properli extrem cold temperatur trailblaz envoi fit know injuri grappl healthcar subsidiari
business.027,business,sale month firm firm firm firm on on investor investor own busi 000 000 000 000 000 000 000 compani compani compani try chief execut oper oper previous europ loss euro reduc job job job job job year year fall produc decis unit product group told told told intern annual annual state state cut cut cut invest invest world acquisit acquisit global make creat confer countri south africa larg million tonn five eastern 45 45 want 50 hold go capac staff staff complet complet emploi due technolog industri romania huge 70 aim spokesman form largest largest workforc workforc workforc merg steel steel steel steel steel steel steel steel steel 45bn kind combin combin shed thousand magnat see trim 110 2010 modernis employe chicago lnm dutch sustain 14 particularli alon czech republ
business.028,business,giant quarter rose gain gain 000 back stronger follow follow analyst strong 2005 growth market estim estim set report level thursdai london think america china fall price price price polici fallen major look yuko russian oil oil oil oil russia demand demand demand demand demand agenc intern 40 rais rais warn forecast januari global top revis revis upward depart first nation countri surg larg million 80 50 suppli suppli fresh barclai due wednesdai energi energi energi energi energi industri output rang problem dai dai north mark ralli ralli light cold trigger trigger crude crude crude crude crude crude crude 47 barrel barrel barrel barrel watchdog watchdog opec outstrip 84 164 brent 132 parisbas advis asian spell stockpil 1m ongo prompt supplier begin capit
business.029,business,ad month firm firm firm benefit fridai own own own own 000 000 000 compani compani back help oper part market settl need legal legal govern govern govern govern govern recent taken taken point foreign face claim product product group group group sai seizur told reuter reuter law offici offici take action british 40 develop 2001 state state state state 13 13 control uk target consid 12 economi economi contract econom privat privat presid presid presid expand worker statu reform reform argu order countri countri countri south larg programm 500 farmer inform activ prosecutor prosecutor provid provid poor critic power plan plan question give right right titl titl emploi 300 fear area land land land land land compli pass insist el 200 spokesman form controversi demonstr socal author author author involv involv declar ownership ownership seiz seiz crack subsidiari subsidiari venezuelan venezuelan venezuelan venezuelan venezuelan venezuelan row chavez chavez chavez rural estat ly idl idl idl farm farm farm farm farm venezuela fulli fulli beef cattl ranch ranch 900 acr acr 32 possess valid document prove alleg boundari boundari match actual surplu consequ properti properti trace 19th centuri poorest citizen 1920 cooper absolut confid submit meat sole identifi noth steadili mine examin ensur suffici
business.030,business,ad profit month on higher quarter dip busi busi befor back help final strong strong chief 2005 2005 2005 growth growth growth growth growth growth growth estim set europ europ report report report report hit hit highlight spend rise rise household reach recent recent job think think current america improv improv year year year year year china remain fall price price price price price despit major believ believ oil oil oil oil oil oil oil demand told recov main high high 40 31 2004 2004 2004 cost octob predict warn continu forecast forecast forecast total outlook previou latest good cut invest start start world world world world world world slip slip global global japan economi economi economi economi economi recoveri recoveri recoveri plai econom econom econom economist economist domest albeit record industrialis countri shock shock shock absorb 24 21 50 30 region bbc 20 japanes 36 sluggish member seen seen continent weather consum boom soar soar overal futur standard support support reason north momentum momentum momentum germani mark eurozon eurozon role 19 crude parisbas confid storm 44 44 33 37 tank regain regain regain scale 28 worst bloc 18 29 2006 turbul jeanphilipp 5567 prospect enorm histor wors seventi vincent senior underwai interrupt bit cours spectacular comeback falter balanc sheet upsw depress expenditur
business.031,business,boost month firm biggest biggest investor investor benefit rose compani compani back offer 2000 2003 close analyst expect saw financi financi strong strong strong chief 2005 2005 growth growth growth growth growth growth growth market market market market market set set valu valu hit hit highest level head trade reach thursdai thursdai concern recent recent data bank bank bank condit condit year year remain fall interest rate rate point european look bui manag told told reuter reuter intern high high high high 2004 compar continu continu forecast forecast januari good good good 2001 invest invest invest share share share share share alli risen capitalis just economi economi econom econom econom econom offic record low low lead five far repres research fuell fresh strongli 10 seen qualiti 23 23 inflat inflat telecom mobil second phone reason equiti equiti equiti 2002 alltim 2006 spectacular irish irish irish irish irish irish persuad index stock stock gave advanc ireland ireland ireland ireland ireland ireland ireland touch peak august reveal reenter yearli benign discount tick box roi buoyant valuat bernard miracl enjoi enjoi wind cool markedli bounc
business.032,business,boost profit firm firm biggest investor higher fridai compani offer offer offer secur conclud expect financi financi financi oper oper market deal deal deal set wai valu concern bank bank bank bank bank bank bank bank year decis interest believ asset trillion trillion trillion former group manag told fight turn high rais world takeov takeov takeov specul bid seek two two japan japan japan japan japan yen yen tokyo tokyo creat end given lead integr absorb rival rival hold hold best mitsubishi mitsubishi mitsubishi mitsubishi japanes japanes japanes japanes allianc sharehold sharehold boss fierc enabl centr approv clear statement formal battl battl merg merg abil ongo capit 18 sumitomo sumitomo sumitomo sumitomo sumitomo sumitomo sumitomo mitsui withdrawn ufj ufj ufj ufj ufj ufj ufj ufj ufj latter counterpart 29bn 189 exit profil histori fourthlargest thirdlargest tabl 35bn known prefer secondlargest admit defeat accept merger merger persist propos attent deepen ti daiwa ventur fullblown increasingli
business.033,business,ad benefit benefit servic better help growth part pai need need need asid report level govern govern govern govern govern govern reduc fall believ fund half half half trillion trillion tax tax monei director warn total good cut just revis econom depart deputi low subsidi subsidi reform popul popul countri larg million distribut distribut distribut research public put poor poor poor poor peopl plan plan go util 36 area area live cash problem line solut studi health properti properti examin 44 expenditur rich grab colombia colombia colombian peso peso £55bn earmark 121 richest sound poverti poverti poverti poverti 53 resourc jose situat insid cheaper electr water pension educ easi 153
business.034,business,time time time firm firm fridai busi 000 000 compani sign sign secur close close financi effort deal deal need stake report report report report save concern ahead job job job job job job view china chines chines chines export shift comment newspap owner product stateown sai monei monei told new new unavail take take cost march state cut cut cut cut invest invest invest invest four uk uk specul target contact push mean worker gordon brown place joint distribut far accus confirm peopl plan bbc bbc 20 led car maker agreement chanc carmak sharehold april boss small union union gener gener secretari seen corp plant plant plant transport paid £1bn 25 industri crucial futur chancellor model model extrem confid ensur ensur august merger ventur rover rover rover rover rover rover rover rover rover rover mg midland goe shanghai automot sourc sourc negoti negoti tell ft ft tieup tieup longbridg awai 19bn toni repeat birmingham award salari quot press auto
business.035,business,ad boost profit profit profit profit media media giant giant firm firm firm firm rose fridai busi compani advertis advertis revenu analyst analyst help post chief execut 2005 oper margin market market reach reach recent ahead year year year look big unit unit unit bought bought includ told reuter new agenc 2004 pretax annual predict averag forecast outlook martin develop world world uk global leader economi creat elect favour opportun surg research rival rival outperform event grei technolog sector ago futur commun young sell sell 15 15 submit 2006 propos £43bn 148 sorrel nop £350m walter thompson olymp congression fifa cup present longterm strength
business.036,business,time time month firm firm firm firm firm firm on busi compani compani compani befor result secur exchang commiss sec sec sec sec sec sec financi financi financi meet meet meet chief 2005 account part effort market market regul report report report head govern think taken america year year call decis european european look big foreign foreign foreign foreign announc told rule rule rule rule rule intern intern offici take drop short addit extra extra warn latest good control share uk leader smaller home just mean given get get hard chang globalis countri particular past programm requir requir washington impos impos impos legisl met provid origin bbc protest protest give union todai wednesdai corpor corpor scandal oversea standard consider relax realli listen fact line line line work extend unfair choos 15 act act particularli watchdog 2006 stock stock tough deadlin deadlin juli burden burden sarbanesoxlei cleanup enron worldcom section section 404 404 nicknam list list middl deleg deleg dc headquart expens timescal cbi cbi cbi heart directorgener sir digbi jone remind isol note underestim complianc extens issuer donald
business.037,business,time three on on on on biggest connect own own busi busi busi busi busi compani compani compani compani try follow exchang close third post execut execut execut market charg charg charg charg amount valu govern curb thursdai data taken bank bank year year fall look bui face loan forc sai demand monei manag told told rule cost van describ latest world world share share takeov target bid top top top luxuri japan japan japan japan japan japan tokyo issu lead countri pressur larg children possibl inform 80 accus cover 1998 bestknown power mitsubishi japanes japanes japanes japanes motor vehicl seri sharehold sharehold sharehold troubl 10 10 bad outsid corpor extent pain scandal bring crimin held base rank sell game hotel hotel largest felt practic author fraud safeti properti properti noth enorm stock stock ufj rich richest awai olymp list mogul arrest arrest arrest arrest falsifi falsifi fals man ran span railwai railwai railwai construct team princ untouch inherit father father father 1960 politician wealth influenc winter resign empir structur prison sentenc delist plung grace murki widespread determin stai root childhood illegitim son war ii weekli magazin 1987 pour fruit silk twelv defect conceal
business.038,business,sale sale sale profit profit profit firm firm higher fourth quarter rose gain busi compani compani back 2003 analyst expect saw help strong strong earn growth pai german stake loss euro euro euro euro euro euro head year year asset russia includ debt debt debt debt rais dresdner kleinwort wasserstein cut cut invest two net low chang contribut dramat came give ago bring telecom telecom mobil mobil mobil mobil focus deutsch deutsch see 28 telekom telekom upbeat 14bn 11bn tmobil usa american semin achiev room resum dividend
business.039,business,sale sale three investor own compani compani 2003 exchang market pai deal stake govern govern govern year china china china remain chines chines chines chines asset asset bui foreign stateown manag manag agenc agenc compar state state state invest share share franc 12 12 wine wine wine wine wine wine two just japan consumpt depart depart low agricultur agricultur maker maker agre 10 bet grow 25 yuan yuan industri italian itali itali oversea approv sell sell largest encourag statement 33 stock tempt acquir bureau bureau heineken scottish newcastl beer citi citi 55 retain litr litr litr litr 59
